Type,Source,Date,Client_Name,Email,Phone,Company,Service_Interest,Amount,VAT,Total_Amount,Invoice_Number,Priority,Message
FORM,contact_form_1.html,2024-01-15T14:30,Νίκος Παπαδόπουλος,nikos.papadopoulos@example.gr,210-1234567,Digital Marketing Pro,Ανάπτυξη Website,,,,,Υψηλή,Χρειαζόμαστε ένα νέο e-commerce website για την εταιρεία μας. Έχουμε περίπου 200 προϊόντα και θέλουμε integration με το ERP μας.
FORM,contact_form_2.html,2024-01-16T09:15,Μαρία Κώστα,maria.kosta@lawfirm.gr,210-9876543,Κώστα & Συνεργάτες Δικηγορικό Γραφείο,Διαχείριση Βάσης Δεδομένων,,,,,Μέτρια,Θέλουμε να δημιουργήσουμε ένα σύστημα διαχείρισης υποθέσεων και πελατών. Χρειαζόμαστε ασφάλεια υψηλού επιπέδου λόγω ευαίσθητων δεδομένων.
FORM,contact_form_3.html,2024-01-17T11:45,Γιάννης Αντωνίου,giannis@restaurant-olympia.gr,2310-555123,Ολυμπία Restaurant Chain,Σύστημα POS,,,,,Υψηλή,"Έχουμε 5 εστιατόρια και χρειαζόμαστε ενοποιημένο σύστημα POS με κεντρική διαχείριση, online παραγγελίες και loyalty program."
FORM,contact_form_4.html,2024-01-18T16:20,Άννα Γεωργίου,anna.georgiou@medclinic.gr,210-7654321,Κέντρο Υγείας Αθήνας,Σύστημα Διαχείρισης Ιατρείου,,,,,Μέτρια,"Χρειαζόμαστε σύστημα διαχείρισης ασθενών, ραντεβού, ιατρικών αρχείων και τιμολόγησης. Πρέπει να είναι GDPR compliant."
FORM,contact_form_5.html,2024-01-19T13:10,Κώστας Δημητρίου,kostas@buildingco.gr,2310-123456,Δημητρίου Κατασκευές ΑΕ,Σύστημα Διαχείρισης Έργων,,,,,Χαμηλή,"Διαχειριζόμαστε 15+ ταυτόχρονα έργα κατασκευών. Χρειαζόμαστε σύστημα για παρακολούθηση προόδου, κόστους, υλικών και εργατικού δυναμικού."
INVOICE,invoice_TF-2024-001.html,21/01/2024,Office Solutions Ltd,info@techflow-solutions.gr,2101234567,TechFlow Solutions,,850.00,204.00,1054.00,TF-2024-001,,
INVOICE,invoice_TF-2024-002.html,22/01/2024,Microsoft Hellas,info@techflow-solutions.gr,2101234567,TechFlow Solutions,,2400.00,576.00,2976.00,TF-2024-002,,
INVOICE,invoice_TF-2024-003.html,23/01/2024,Computer World SA,info@techflow-solutions.gr,2101234567,TechFlow Solutions,,4200.00,1008.00,5208.00,TF-2024-003,,
INVOICE,invoice_TF-2024-004.html,24/01/2024,Digital Marketing Agency,info@techflow-solutions.gr,2101234567,TechFlow Solutions,,1600.00,384.00,1984.00,TF-2024-004,,
INVOICE,invoice_TF-2024-005.html,25/01/2024,Βιβλιοπωλείο Καλλιτεχνία,info@techflow-solutions.gr,2101234567,TechFlow Solutions,,2030.00,487.20,2517.20,TF-2024-005,,
