Type,Source,Date,Client_Name,Email,Phone,Company,Service_Interest,Amount,VAT,Total_Amount,Invoice_Number,Priority,Message
FORM,contact_form_1.html,2024-01-15,Νίκος Παπαδόπουλος,nikos.papadopoulos@example.gr,210-1234567,Digital Marketing Pro,Ανάπτυξη Website,,,,,high,Χρειαζόμαστε ένα νέο e-commerce website για την εταιρεία μας. Έχουμε περίπου 200 προϊόντα και θέλουμε integration με το ERP μας.
FORM,contact_form_2.html,2024-01-16,Μαρία Κώστα,maria.kosta@lawfirm.gr,210-9876543,Κώστα & Συνεργάτες Δικηγορικό Γραφείο,Διαχείριση Βάσης Δεδομένων,,,,,medium,Θέλουμε να δημιουργήσουμε ένα σύστημα διαχείρισης υποθέσεων και πελατών. Χρειαζόμαστε ασφάλεια υψηλού επιπέδου λόγω ευαίσθητων δεδομένων.
FORM,contact_form_3.html,2024-01-17,Γιάννης Αντωνίου,giannis@restaurant-olympia.gr,2310-555123,Ολυμπία Restaurant Chain,Σύστημα POS,,,,,high,"Έχουμε 5 εστιατόρια και χρειαζόμαστε ενοποιημένο σύστημα POS με κεντρική διαχείριση, online παραγγελίες και loyalty program."
FORM,contact_form_4.html,2024-01-18,Άννα Γεωργίου,anna.georgiou@medclinic.gr,210-7654321,Κέντρο Υγείας Αθήνας,Σύστημα Διαχείρισης Ιατρείου,,,,,medium,"Χρειαζόμαστε σύστημα διαχείρισης ασθενών, ραντεβού, ιατρικών αρχείων και τιμολόγησης. Πρέπει να είναι GDPR compliant."
FORM,contact_form_5.html,2024-01-19,Κώστας Δημητρίου,kostas@buildingco.gr,2310-123456,Δημητρίου Κατασκευές ΑΕ,Σύστημα Διαχείρισης Έργων,,,,,low,"Διαχειριζόμαστε 15+ ταυτόχρονα έργα κατασκευών. Χρειαζόμαστε σύστημα για παρακολούθηση προόδου, κόστους, υλικών και εργατικού δυναμικού."
INVOICE,invoice_TF-2024-001.html,2024-01-21,Office Solutions Ltd,,,TechFlow Solutions,Not specified,850.00,204.00,1054.00,TF-2024-001,low,No service or priority information provided.
INVOICE,invoice_TF-2024-002.html,2024-01-22,Microsoft Hellas,,,TechFlow Solutions,Not specified,2400.00,576.00,2976.00,TF-2024-002,low,"The customer is Microsoft Hellas and the company is TechFlow Solutions, but no specific service or priority has been provided."
INVOICE,invoice_TF-2024-003.html,2024-01-23,Computer World SA,,,TechFlow Solutions,Not specified,4200.00,1008.00,5208.00,TF-2024-003,low,No service interest or message provided.
INVOICE,invoice_TF-2024-004.html,2024-01-24,Digital Marketing Agency,,,TechFlow Solutions,Marketing Services,1600.00,384.00,1984.00,TF-2024-004,high,The customer is a Digital Marketing Agency seeking services from TechFlow Solutions.
INVOICE,invoice_TF-2024-005.html,2024-01-25,Βιβλιοπωλείο Καλλιτεχνία,,,TechFlow Solutions,Not specified,2030.00,487.20,2517.20,TF-2024-005,low,"The customer is Βιβλιοπωλείο Καλλιτεχνία and the company is TechFlow Solutions, but no specific service or priority has been provided."
